"Артикул";"Название";"Категория";"Цена_руб";"Старая_цена_руб";"Скидка_проц";"Описание";"Комплектация";"Характеристики";"Фото_URL";"Ссылка_на_товар"
"3204442838";"NIKASS Инвертор автомобильный, 1200 Вт арт. 1200";"Автотовары > Запчасти для легковых авто > Электрооборудование > Инверторы";"4333";"90000";"95";"Инвертор 1200 Вт / 2500 Вт
Тип Синуса: Модифицированный
Номинальная мощность: 1200 Вт
Максимальная мощность: 2500 Вт
Частота: 50 Гц
Входное напряжение: 12В
Выходное напряжение: 220В
Особенности: Умная система охлаждения, комплексная защита.


КОМПЛЕКТАЦИЯ:

Провода 50 см
Крокодилы
Что можно подключить:
Зарядки телефонов, планшетов.
Лампы накаливания, светодиодные лампы.
Вентиляторы, дрели, шуроповёрты.
Бытовые обогреватели.
Электроинструменты с коллекторным двигателем.

НЕ ПОДХОДИТ ДЛЯ:
Ноутбуков,
Техники с электродвигателями (холодильники, компрессоры, кондиционеры),
Чувствительной электроники.
Аудио-видео аппаратуры.

Важно проверять совместимость перед покупкой.";"Инвертор, провода 50см, крокодилы";"Артикул
3204442838
Тип
Инвертор автомобильный
Партномер (артикул производителя)
1200
Количество, штук
1
Мощность, Вт
1200
Питание от
автомобильной сети
Тип двигателя
Аккумуляторный
Рабочее напряжение, В
12-220
Вид техники
Легковые автомобили
Цвет
Черный
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-e/wc1000/8565544274.jpg";"https://www.ozon.ru/product/nikass-invertor-avtomobilnyy-1200-vt-art-1200-3204442838/?_bctx=CAMQxYakMA&at=1kyl1-CtZmaGk-otfB1iOi4vBbwsp73x"
"2132358808";"Комплект Солнечная панель 30 Ватт, 18 Вольт, 1.63A 2 шт";"Строительство и ремонт > Электрика > Солнечные панели";"6924";"25000";"72";"Монокристаллическая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Основные материалы
Ультрабелое закалённое стекло, RET, EVA, светоотражающая плёнка
Характеристики
- Длина провода 3 метра с сечением 2 х 0.5 мм²
- Расчетное напряжение 18V
- Мощность 30 W
- Размер 530 мм х 350 мм

Меры предосторожности:

- Не сгибать
- Не превышать диапазон энергопотребления
- Избегайте царапин твердыми предметами во время использования
- Избегайте контакта с коррозийными веществами";"Солнечная панель, инструкция, упаковка";"Артикул
2132358808
Тип
Солнечная батарея
Номинальная мощность, Вт
60
Коэффициент мощности
60
Макс. сила тока, А
1.63
Мин. температура эксплуатации, С°
-20
Макс. температура эксплуатации, С°
60
Номинальное напряжение, В
36
Технология солнечной батареи
Монокристаллические
Класс защиты
IP65
Количество элементов, шт
36
Толщина, мм
16
Длина, мм
530
Ширина, мм
350
Вес, кг
1.87
Цвет
Серый
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-m/wc1000/7564125550.jpg";"https://www.ozon.ru/product/komplekt-solnechnaya-panel-30-vatt-18-volt-1-63a-2-sht-2132358808/?_bctx=CAMQxYakMA&at=1kyl1OUqxWH1YATZ6r7lNzecS0yi5crH"
"1924633330";"Солнечная панель 30 Ватт, 18 Вольт, 1.63 A";"Строительство и ремонт > Электрика > Солнечные панели";"4241";"";"";"Монокристаллическая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Основные материалы
Ультрабелое закалённое стекло, RET, EVA, светоотражающая плёнка
Характеристики
- Длина провода 3 метра с сечением 2 х 0.5 мм²
- Расчетное напряжение 18V
- Мощность 30 W
- Размер 530 мм х 350 мм

Меры предосторожности:

- Не сгибать
- Не превышать диапазон энергопотребления
- Избегайте царапин твердыми предметами во время использования
- Избегайте контакта с коррозийными веществами";"Солнечная панель, инструкция, упаковка";"Артикул
1924633330
Тип
Солнечная батарея
Номинальная мощность, Вт
30
Коэффициент мощности
30
Макс. сила тока, А
1.63
Мин. температура эксплуатации, С°
-20
Макс. температура эксплуатации, С°
60
Номинальное напряжение, В
18
Технология солнечной батареи
Монокристаллические
Класс защиты
IP65
Толщина, мм
16
Длина, мм
530
Ширина, мм
350
Вес, кг
1.87
Цвет
Серый
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-x/wc1000/7379889909.jpg";"https://www.ozon.ru/product/solnechnaya-panel-30-vatt-18-volt-1-63-a-1924633330/?_bctx=CAMQxYakMA&at=1kyl1_2-DP6ni3hS_MQaWZtPgP77rBig"
"3541653896";"Глубокоразрядный AGM аккумулятор 12v 70Ah NIKASS";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"14517";"200000";"92";"AGM аккумулятор 12В 70 Ач – Герметичный, необслуживаемый, для ИБП, солнечных систем и авто

ОСНОВНЫЕ ХАРАКТЕРИСТИКИ

⚡Тип аккумулятора AGM (Absorbent Glass Mat)

⚡Напряжение 12 В

⚡Ёмкость 70 Ач

⚡Герметичный, необслуживаемый

⚡Срок службы до 10 лет (в буферном режиме)

⚡Рабочая температура от -20°C до +55°C

ДЛЯ ЧЕГО ПОДХОДИТ

🔹 Источники бесперебойного питания (ИБП) – для газовых котлов, насосов, серверов

🔹 Солнечные электростанции – накопление энергии от панелей

🔹 Автономное питание – для кемпинга, дачи, гаража

🔹 Автомобили и спецтехника – замена штатной АКБ

🔹 Электромоторы, лебёдки, инверторы

ТЕХНОЛОГИЯ AGM – ЧТО ЭТО ДАЁТ

✅ Полная герметичность – нет испарений, можно устанавливать в жилых помещениях

✅ Не требует обслуживания

✅ Высокая токоотдача – уверенный старт и работа с мощными нагрузками

✅ Низкий саморазряд – хранится до года без подзарядки

✅ Устойчивость к вибрациям – подходит для транспорта и сложных условий

ПРЕИМУЩЕСТВА ЭТОЙ МОДЕЛИ

➕Ёмкость 70 Ач – оптимальный баланс между мощностью и габаритами

➕Работа в любом положении (кроме «вверх дном»)

➕Широкий диапазон температур – работает зимой и летом

➕Безопасность – нет утечек кислоты, можно использовать дома

➕Готов к работе сразу – заряжен и проверен перед отправкой

КОМПЛЕКТАЦИЯ

🔸 Аккумулятор AGM 12В 70 Ач – 1 шт.

🔸 Инструкция по эксплуатации

🔸 Гарантийный талон

ГАРАНТИЯ И НАДЁЖНОСТЬ

✅ Гарантия – 12 месяцев

✅ Бесплатная консультация по подбору и эксплуатации

✅ Аккумуляторы проходят проверку перед отправкой

✅ Надёжная упаковка – исключаем повреждения при доставке

ЧАСТЫЕ ВОПРОСЫ

Можно ли использовать для газового котла? ✅ Да. Аккумулятор отлично подходит для работы в паре с ИБП для котлов отопления.

Нужно ли обслуживание? ❌ Нет. Это полностью необслуживаемая AGM батарея.

Можно ставить в доме? ✅ Да. Корпус герметичен, нет запаха и испарений.

Сколько прослужит? ✅ При правильной эксплуатации – до 10 лет в буферном режиме.";"Аккумулятор, гарантийный талон, инструкция";"Добавить к сравнению
Артикул
3541653896
Активная мощность, Вт
840
Цвет
Серый
Тип аккумулятора
AGM
Емкость, А•ч
70
Клеммы
Стандартные
Входное напряжение
12 В
Выходное напряжение
12 В
Вес товара, г
21800
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-i/wc1000/9459182502.jpg";"https://www.ozon.ru/product/glubokorazryadnyy-agm-akkumulyator-12v-70ah-nikass-3541653896/?_bctx=CAMQxYakMA&at=1kyl1Ps2_-PRRLYq8WzQv1tXBRAhWY1q"
"3204445652";"NIKASS Инвертор автомобильный, 1600 Вт арт. 1600";"Автотовары > Запчасти для легковых авто > Электрооборудование > Инверторы";"6650";"120000";"94";"Инвертор 1600 Вт / 3500 Вт
Тип Синуса: Модифицированный
Номинальная мощность: 1600 Вт
Максимальная мощность: 3500 Вт
Частота: 50 Гц
Входное напряжение: 12В
Выходное напряжение: 220В
Особенности: Умная система охлаждения, комплексная защита.

КОМПЛЕКТАЦИЯ:

Провода 50 см
Клеммы

Что можно подключить:
Электроинструмент: Дрели, шуруповерты, перфораторы, болгарки, дисковые пилы, сабельные пилы, лобзики, фены для строительных работ.

Прочее оборудование: Небольшие сварочные аппараты (инверторного типа, обязательно сверьтесь с мощностью), компрессоры для подкачки шин или покраски, автоклавы для мойки

Кухня: Электрические чайники, кофеварки, мультиварки и скороварки средней мощности, небольшие микроволновые печи.

Быт: Ноутбуки, мониторы, небольшие телевизоры, проекторы, игровые консоли, мощные аудиосистемы, освещение, прожекторы.

Комфорт: Небольшие обогреватели или вентиляторы, электробритвы, фены средней мощности.

В доме/на даче: освещение, систему охраны или связь.

Небольшие насосы для полива, инструменты для обрезки, доильные аппараты.

НЕ ПОДХОДИТ ДЛЯ:
Техники с электродвигателями (холодильники, компрессоры, кондиционеры),
Чувствительной электроники.

Важно проверять совместимость перед покупкой.";"Инвертор, провода 50 см, клеммы";"Артикул
3204445652
Тип
Инвертор автомобильный
Партномер (артикул производителя)
1600
Количество, штук
1
Мощность, Вт
1600
Питание от
автомобильной сети
Тип двигателя
Аккумуляторный
Рабочее напряжение, В
12-220
Вид техники
Легковые автомобили
Цвет
Черный
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-q/wc1000/8565560234.jpg";"https://www.ozon.ru/product/nikass-invertor-avtomobilnyy-1600-vt-art-1600-3204445652/?_bctx=CAMQxYakMA&at=1kyl1MbYpAbX-XCtIhflFgdnfLn-hG1W"
"3541647028";"Глубокоразрядный AGM аккумулятор 12v 200Ah NIKASS";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"36756";"300000";"87";"AGM аккумулятор 12В 200 Ач – Герметичный, необслуживаемый, для ИБП, солнечных систем и авто

ОСНОВНЫЕ ХАРАКТЕРИСТИКИ

⚡Тип аккумулятора AGM (Absorbent Glass Mat)

⚡Напряжение12 В

⚡Ёмкость 200 Ач

⚡Герметичный, необслуживаемый

⚡Срок службы до 10 лет (в буферном режиме)

⚡Рабочая температура от -20°C до +55°C

ДЛЯ ЧЕГО ПОДХОДИТ

🔹 Источники бесперебойного питания (ИБП) – для газовых котлов, насосов, серверов

🔹 Солнечные электростанции – накопление энергии от панелей

🔹 Автономное питание – для кемпинга, дачи, гаража

🔹 Автомобили и спецтехника – замена штатной АКБ

🔹 Электромоторы, лебёдки, инверторы

ТЕХНОЛОГИЯ AGM – ЧТО ЭТО ДАЁТ

✅ Полная герметичность – нет испарений, можно устанавливать в жилых помещениях

✅ Не требует обслуживания

✅ Высокая токоотдача – уверенный старт и работа с мощными нагрузками

✅ Низкий саморазряд – хранится до года без подзарядки

✅ Устойчивость к вибрациям – подходит для транспорта и сложных условий

ПРЕИМУЩЕСТВА ЭТОЙ МОДЕЛИ

➕Ёмкость 200 Ач – оптимальный баланс между мощностью и габаритами

➕Работа в любом положении (кроме «вверх дном»)

➕Широкий диапазон температур – работает зимой и летом

➕Безопасность – нет утечек кислоты, можно использовать дома

➕Готов к работе сразу – заряжен и проверен перед отправкой

КОМПЛЕКТАЦИЯ

🔸 Аккумулятор AGM 12В 200 Ач – 1 шт.

🔸 Инструкция по эксплуатации

🔸 Гарантийный талон

ГАРАНТИЯ И НАДЁЖНОСТЬ

✅ Гарантия – 12 месяцев

✅ Бесплатная консультация по подбору и эксплуатации

✅ Аккумуляторы проходят проверку перед отправкой

✅ Надёжная упаковка – исключаем повреждения при доставке

ЧАСТЫЕ ВОПРОСЫ

Можно ли использовать для газового котла? ✅ Да. Аккумулятор отлично подходит для работы в паре с ИБП для котлов отопления.

Нужно ли обслуживание? ❌ Нет. Это полностью необслуживаемая AGM батарея.

Можно ставить в доме? ✅ Да. Корпус герметичен, нет запаха и испарений.

Сколько прослужит? ✅ При правильной эксплуатации – до 10 лет в буферном режиме.";"Аккумулятор, гарантийный талон, инструкция";"Добавить к сравнению
Артикул
3541647028
Активная мощность, Вт
2400
Цвет
Серый
Тип аккумулятора
AGM
Емкость, А•ч
200
Клеммы
Стандартные
Входное напряжение
12 В
Выходное напряжение
12 В
Вес товара, г
57500
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-e/wc1000/9460650650.jpg";"https://www.ozon.ru/product/glubokorazryadnyy-agm-akkumulyator-12v-200ah-nikass-3541647028/?_bctx=CAMQxYakMA&at=1kyl1WsrVukMb3oSbbIg9__5ZDNHjJ_b"
"1755717935";"NIKASS Портативная солнечная панель, 30 Вт";"Туризм, рыбалка, охота > Туризм и отдых на природе > Фонари и аксессуары > Солнечные панели и аксессуары";"4208";"";"";"Монокристаллическая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Основные материалы
Ультрабелое закалённое стекло, RET, EVA, светоотражающая плёнка
Характеристики
- Длина провода 3 метра с сечением 2 х 0.5 мм²
- Расчетное напряжение 18V
- Мощность 30 W
- Размер 530 мм х 350 мм

Меры предосторожности:

- Не сгибать
- Не превышать диапазон энергопотребления
- Избегайте царапин твердыми предметами во время использования
- Избегайте контакта с коррозийными веществами";"Солнечная панель, инструкция, упаковка";"Артикул
1755717935
Тип
Портативная солнечная панель
Макс. напряжение, В
18
Вес товара, г
1870
Степень защиты от влаги и пыли
IP65
Модель светодиода
Монокристаллическая солнечная панель
Гарантия
12 месяцев
Кол-во светодиодов
33
Макс. ток, А
1.63
Тип элементов питания
Элементы питания B
Мощность, Вт
30
Цвет
Серый
Размер (ДхШхВ), см
53.5 см x 35.8 см x 2.5 см
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-a/wc1000/10058932738.jpg";"https://www.ozon.ru/product/nikass-portativnaya-solnechnaya-panel-30-vt-1755717935/?_bctx=CAMQxYakMA&at=1kyl1-YSdurVBx3ebiLGiOEWjuoMe37O"
"3541650732";"Глубокоразрядный AGM аккумулятор 12v 65Ah NIKASS";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"13194";"";"";"AGM аккумулятор 12В 65 Ач – Герметичный, необслуживаемый, для ИБП, солнечных систем и авто

ОСНОВНЫЕ ХАРАКТЕРИСТИКИ

⚡Тип аккумулятора AGM (Absorbent Glass Mat)

⚡Напряжение12 В

⚡Ёмкость 65 Ач

⚡Герметичный, необслуживаемый

⚡Срок службы до 10 лет (в буферном режиме)

⚡Рабочая температура от -20°C до +55°C

ДЛЯ ЧЕГО ПОДХОДИТ

🔹 Источники бесперебойного питания (ИБП) – для газовых котлов, насосов, серверов

🔹 Солнечные электростанции – накопление энергии от панелей

🔹 Автономное питание – для кемпинга, дачи, гаража

🔹 Автомобили и спецтехника – замена штатной АКБ

🔹 Электромоторы, лебёдки, инверторы

ТЕХНОЛОГИЯ AGM – ЧТО ЭТО ДАЁТ

✅ Полная герметичность – нет испарений, можно устанавливать в жилых помещениях

✅ Не требует обслуживания

✅ Высокая токоотдача – уверенный старт и работа с мощными нагрузками

✅ Низкий саморазряд – хранится до года без подзарядки

✅ Устойчивость к вибрациям – подходит для транспорта и сложных условий

ПРЕИМУЩЕСТВА ЭТОЙ МОДЕЛИ

➕Ёмкость 65 Ач – оптимальный баланс между мощностью и габаритами

➕Работа в любом положении (кроме «вверх дном»)

➕Широкий диапазон температур – работает зимой и летом

➕Безопасность – нет утечек кислоты, можно использовать дома

➕Готов к работе сразу – заряжен и проверен перед отправкой

КОМПЛЕКТАЦИЯ

🔸 Аккумулятор AGM 12В 65 Ач – 1 шт.

🔸 Инструкция по эксплуатации

🔸 Гарантийный талон

ГАРАНТИЯ И НАДЁЖНОСТЬ

✅ Гарантия – 12 месяцев

✅ Бесплатная консультация по подбору и эксплуатации

✅ Аккумуляторы проходят проверку перед отправкой

✅ Надёжная упаковка – исключаем повреждения при доставке

ЧАСТЫЕ ВОПРОСЫ

Можно ли использовать для газового котла? ✅ Да. Аккумулятор отлично подходит для работы в паре с ИБП для котлов отопления.

Нужно ли обслуживание? ❌ Нет. Это полностью необслуживаемая AGM батарея.

Можно ставить в доме? ✅ Да. Корпус герметичен, нет запаха и испарений.

Сколько прослужит? ✅ При правильной эксплуатации – до 10 лет в буферном режиме.";"Аккумулятор, гарантийный талон, инструкция";"Артикул
3541650732
Активная мощность, Вт
780
Цвет
Серый
Тип аккумулятора
AGM
Емкость, А•ч
65
Клеммы
Стандартные
Входное напряжение
12 В
Выходное напряжение
12 В
Вес товара, г
20000
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-6/wc1000/11707969614.jpg";"https://www.ozon.ru/product/glubokorazryadnyy-agm-akkumulyator-12v-65ah-nikass-3541650732/?_bctx=CAMQxYakMA&at=1kyl1QTmiJcfqpbDbJfWp5_F-E0ePAsV"
"3204436759";"NIKASS Инвертор автомобильный, 600 Вт арт. 600";"Автотовары > Запчасти для легковых авто > Электрооборудование > Инверторы";"2919";"80000";"96";"Инвертор 600 Вт / 1200 Вт
Тип Синуса: Модифицированный
Номинальная мощность: 600 Вт
Максимальная мощность: 1200 Вт
Частота: 50 Гц
Входное напряжение: 12В
Выходное напряжение: 220В
Особенности: Умная система охлаждения, комплексная защита.


КОМПЛЕКТАЦИЯ:

Провода 50 см
Крокодилы

Что можно подключить:
Зарядки телефонов, планшетов.
Лампы накаливания.
Небольшие вентиляторы.
Электробритвы.
Простые зарядные устройства.
Колонки.
НЕ ПОДХОДИТ ДЛЯ:
Ноутбуков,
Техники с электродвигателями (холодильники, компрессоры, кондиционеры),
Чувствительной электроники.
Важно проверять совместимость перед покупкой.";"Инвертор, провода 50см, крокодилы";"Артикул
3204436759
Тип
Инвертор автомобильный
Партномер (артикул производителя)
600
Количество, штук
1
Мощность, Вт
600
Питание от
автомобильной сети
Тип двигателя
Аккумуляторный
Рабочее напряжение, В
12-220
Вид техники
Легковые автомобили
Цвет
Черный
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-g/wc1000/8565526168.jpg";"https://www.ozon.ru/product/nikass-invertor-avtomobilnyy-600-vt-art-600-3204436759/?_bctx=CAMQxYakMA&at=1kyl1X4FyuW_-4LYQbkVLG_7tFl42xmn"
"2132347841";"NIKASS Портативная солнечная панель, 60 Вт";"Туризм, рыбалка, охота > Туризм и отдых на природе > Фонари и аксессуары > Солнечные панели и аксессуары";"6648";"25000";"73";"Монокристаллическая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Основные материалы
Ультрабелое закалённое стекло, RET, EVA, светоотражающая плёнка
Характеристики
- Длина провода 3 метра с сечением 2 х 0.5 мм²
- Расчетное напряжение 18V
- Мощность 30 W
- Размер 530 мм х 350 мм

Меры предосторожности:

- Не сгибать
- Не превышать диапазон энергопотребления
- Избегайте царапин твердыми предметами во время использования
- Избегайте контакта с коррозийными веществами";"Солнечная панель 2 шт, инструкция, упаковка";"Артикул
2132347841
Тип
Портативная солнечная панель
Макс. напряжение, В
18
Вес товара, г
1870
Степень защиты от влаги и пыли
IP65
Модель светодиода
Монокристаллическая солнечная панель
Гарантия
12 месяцев
Кол-во светодиодов
33
Макс. ток, А
1.63
Тип элементов питания
Элементы питания B
Мощность, Вт
60
Цвет
Серый
Размер (ДхШхВ), см
53.5 см x 35.8 см x 2.5 см
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-p/wc1000/10059695881.jpg";"https://www.ozon.ru/product/nikass-portativnaya-solnechnaya-panel-60-vt-2132347841/?_bctx=CAMQxYakMA&at=1kyl1YO2Xo-oNMJ2ZBL1RcvIhZVejCLS"
